"g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","Gene"
0.463566658267951,1.98452230740497,2.3151209488112,0.358408801998855,0.529950247925654,0.525843466761809,1.8730190697095,2.82195656749098,0.525553248744841,3.38421142303829,1.37396475687824,2.50481258940599,0.369060086599735,1.2670940108598,0.442040366495278,"TREM2"
8.41910992032978,8.02860953079033,7.76254870811277,7.56827586413734,6.79146844890844,2.56193999458952,4.83452619266682,4.30344625325813,4.98058457514997,3.43519431654756,4.36287191488849,5.42528331369283,4.5778481761422,6.29452442863106,5.27595001220541,"MRC1"
6.94916518020992,7.26671634128518,7.01948664906896,3.97918644929973,9.00346022318437,2.87213602536986,5.65157421934054,4.83215694393753,3.18413238103027,4.74140272109206,4.27651087903503,6.19358316856103,3.79932378144211,4.91074582391648,3.90865369729668,"AIF1"
0.124740350674137,0.17377609173347,0.0392658631365095,1.95096476873679,0.125434125801738,0.318499963608085,0.0742656904449382,0.013445770415987,0.11039929385082,0.0248200809234963,0.114926491707716,0.118511649694489,0.141669926535967,1.45310978510966,0.149689036156599,"PRKN"
0.00973704870617621,0.0150021133143038,0.0106759654493766,0.0194209444247592,0.0406058511514097,0.099015436340088,1.09423322536939,0.0302292260781561,0.032783088512028,0.079043297019564,0.0665748607144157,0.0700874940881516,0.0371088290627731,0.0160935946725065,0,"BUB1B"
12.7744293327569,9.24202398070455,15.3581798803071,11.6083431403051,14.499945659384,9.75451594936357,7.87746821694658,5.62571112203548,6.08627472870011,7.45833063525532,7.68304455953874,11.2346975119501,7.78448404488751,20.3229998233299,8.88009239325266,"SPP1"
0.165163366297554,0.0590556184521345,0.102264408160441,1.8216847615388,0.151918764137498,0.309735595138838,0.0831085622073389,0.0194207648030943,0.145448254846688,0.0459642100754669,0.534555960414466,0.095079202921582,1.30416502362144,1.87193512858721,0.200032805779071,"SOX5"
0.684276038533098,2.05193530173365,1.39458048586994,2.86629846745412,1.36443442941111,0.280498241499013,0.504237025116324,0.79409921162066,0.489941761916259,0.707979109532136,0.600834841828406,1.2765921698542,0.314411704359697,1.03042563153184,0.332883167605895,"CCL13"
9.4102112291952,6.3474025255836,10.8759720599312,6.57663124033759,8.89281754542988,3.48378009693191,5.81112280949155,5.02649093659544,7.92529973725838,4.75964003452023,5.41742207591593,7.32012960943889,5.3298082049389,7.86241750225282,5.53096463425587,"LYVE1"
6.30425239493566,1.47707239000357,2.92211109601175,2.80993639226535,2.47567663317613,1.60012293248749,2.43211450225318,3.79831111237672,1.00473255713172,2.33449335886248,3.11065167215774,3.05738397639755,2.70974446545079,1.06565976440873,2.59580641321614,"CXCL8"
6.3402263790915,6.55019219886191,8.61188855933954,6.21789759438106,7.42776372909965,2.16986943402106,4.38947777351419,4.70265841292426,3.92369925208342,3.60100558918613,4.24596785072636,6.28087522932747,3.94478049119265,7.09204144749979,3.31525860298727,"MAF"
1.99592417715874,4.54554199961946,5.44301631940297,2.30301879779303,4.46628185919033,1.75957563087217,4.59718956572127,4.24192842689651,4.50297936679212,4.30950832855001,2.97746248682911,4.47204453745733,3.05844121250314,3.14104423659976,2.04051780771121,"S100A4"
2.04891105424979,0.792523604207845,0.457027086660168,0.235038727782166,0.472433984884362,0.382125649313336,0.922549112719758,1.95735295108621,0.822016115985712,0.886102941622296,0.964853209333949,0.668524577774004,0.562720170179644,0.112024679805994,0.653596888763034,"TNF"
9.98033886888794,12.6149874807552,11.9645906764273,5.0164326030092,10.6026832445863,4.61072454117731,6.24948978921594,4.77115045204493,7.52508943179812,4.86615982277704,5.9479062858805,8.80132419708099,6.43892669207409,5.21902750614353,7.88195299096152,"C1QB"
10.832141685699,8.56273985700607,13.236989753524,5.85972800249396,11.5780525021286,6.14965695740886,6.53122756033288,5.13531480038159,3.95220561961182,5.76724080947729,6.02131346406833,8.62950168274663,6.44519326747914,13.7495685069713,7.21486848599561,"DAB2"
3.32373947177193,1.25095731935367,0.893846901788909,0.490795190409789,0.676326138214421,0.890531902626944,1.13480870021098,3.04441220744332,2.15792582732461,1.16956928820868,2.04910415223976,0.892430608774365,1.31476031282495,0.133418058546259,1.08467548007021,"DUSP2"
7.03063446639821,3.47474121107453,8.37037215690435,8.58258791715241,4.40927570874333,3.00285226963519,5.12062506302048,4.9855463052497,2.18503256678493,4.37263587558192,4.53248850797472,6.73861262517194,6.15017655742088,10.8678774995337,4.78358109573907,"CD36"
4.26732820359474,4.74256514268782,4.6094949220986,3.03719649032869,5.50939637782848,4.59395744179596,4.59872118377093,4.39564290241835,4.77324892171547,4.58489813882475,4.34516486370648,4.18736659114936,3.47407912921166,3.91422656041132,5.82383681832383,"CLIC1"
8.2834653941559,8.42779713280632,10.2137873386759,4.24600308766209,8.73674648919434,2.69289431688866,5.59055586571446,4.77557088972315,3.19979117177398,4.78592337622034,4.77165858582454,6.79477235067503,4.48958239099395,4.87430199562983,4.87171807282837,"FOLR2"
0.0252918710763449,0.0435473241962802,0.0627692939159647,0.0250162714497948,0.146633877964405,0.271934423728909,3.71320078727491,0.106520880681384,0.23777994846763,0.194659742982845,0.131483283234264,0.221348228273917,0.19444980865139,0.0157456790956798,0.228362502637174,"MKI67"
3.40580121886149,0.393588118861067,0.454343888619521,0.360984503463599,0.278929516186308,0.537872918894111,0.661819815009385,0.646576273275568,0.494589034557786,0.245121634045505,1.17821215553189,0.914212932352595,2.07096705800966,0.0563022152240349,1.80324472534228,"IL1B"
10.6906108547724,12.4700594677597,13.3165449146227,5.76446690693104,12.1531158004404,5.18697116256969,6.43379074476237,4.86559517416632,7.26395953976686,5.86550156296604,6.3129141956181,8.75873073513579,6.73269137481979,5.97270648521701,8.34320524251401,"C1QA"
1.43507551444073,7.58766300066545,0.718455953321784,0.445316089669775,2.50035010491276,1.23094007685231,0.832304636916648,0.0740025967376673,2.89080120379079,0.655294378710039,0.284659805492922,0.885395927706296,0.632673695989379,1.48866716878524,1.66997858387786,"HLA-DRA"
2.38922964393618,4.51850552591025,3.63466733103561,2.31624780344456,1.76086201531943,1.24277839905661,1.86025530497098,1.9287455012214,1.89409843008224,1.39992091392076,1.45504637132516,1.47838292552987,1.30304419556889,1.28173536722423,1.81631382809798,"FCGR3A"
0.913511628768751,0.237390832917636,0.243544775822518,0.253581807809823,0.333161494095387,0.15600448229142,0.162479063999395,0.615834236168894,0.211714202145305,0.116916002997467,0.317355252013666,0.461317495118493,0.531399063876413,0.0981733172328129,0.141106954547185,"PTGS2"
8.21449883804252,8.53044496292048,7.60711130670496,5.24748018215808,6.63676669790826,2.66039125466649,4.44013463080499,4.26233040322287,4.29310957198153,3.35601060011288,4.7897008575752,5.63733374098986,4.67020512087316,5.22542933149425,5.33539317749897,"CD163"
0.124672938968903,0.0570315874051685,0.0816996658589953,1.30470052738913,0.0742790302320432,0.227619837811077,0.0531868052477781,0.0401669014325152,0.0659939666743974,0.0896012282548814,0.0960051936252117,0.106321351185215,0.0558142119159088,1.25128623309073,0.0859553775140749,"C9"
7.06898483413613,2.9893941180438,1.38522455027127,1.77661331529709,1.62046426254675,1.7684764560157,2.01765162938431,3.50999338901886,2.683811354038,1.50340808255864,3.96250192052419,2.06023357568376,4.32168983271128,0.826185617683927,4.11221498054812,"NFKBIZ"
0.00720132542097162,0.00657680330244727,0.0211996944884233,0.0243500125714233,0.0350767178674687,0.114789758641537,1.06509943039166,0.0232513078207277,0.0418966639405121,0.104900027855127,0.04970243884844,0.0480632651608392,0.0851885920195294,0.0375032414562666,0,"KIF4A"
